IncidentSize,FireCause,InitialLatitude,InitialLongitude,Month
-4.605170185988091,0,39.800333,-123.267017,9
-4.605170185988091,0,36.571528,-121.808292,8
-4.605170185988091,0,41.6073,-120.174283,7
-4.605170185988091,0,38.45328,-123.00034,5
-4.605170185988091,0,37.867803,-120.867685,7
-4.605170185988091,0,32.668011,-116.823407,6
-4.605170185988091,0,35.111664,-120.090314,4
-4.605170185988091,0,37.46376,-121.180188,5
-4.605170185988091,0,36.904991,-121.645747,5
-4.605170185988091,0,38.172064,-121.077641,6
-4.605170185988091,0,39.049308,-121.24911,7
-4.605170185988091,0,33.787362,-117.22982,4
-4.605170185988091,0,32.626157,-116.327405,7
-4.605170185988091,0,39.239922,-121.031763,7
-4.605170185988091,0,38.667589,-121.077768,10
-4.605170185988091,0,36.677685,-119.191258,5
-4.605170185988091,0,33.919507,-117.103765,6
-4.605170185988091,0,38.408698,-122.62013,8
-4.605170185988091,0,33.772238,-117.085582,12
-4.605170185988091,0,40.265134,-121.734647,6
-4.605170185988091,0,37.067592,-119.494599,8
-4.605170185988091,0,34.996379,-120.43398,7
-4.605170185988091,0,39.232042,-121.073206,8
-4.605170185988091,0,34.441262,-117.399509,6
-4.605170185988091,0,33.81932,-117.193406,4
-4.605170185988091,0,33.787326,-117.330303,11
-4.605170185988091,0,41.446467,-122.37085,3
-4.605170185988091,0,36.802377,-121.666422,10
-4.605170185988091,0,40.112333,-123.793883,8
-4.605170185988091,0,32.977065,-116.824172,10
-4.605170185988091,0,38.377865,-120.45554,6
-4.605170185988091,0,37.366449,-122.140118,6
-4.605170185988091,0,38.895106,-120.833836,12
-4.605170185988091,0,32.604676,-116.309514,7
-4.605170185988091,0,34.200086,-118.983339,8
-4.605170185988091,0,38.292914,-122.651808,10
-4.605170185988091,0,33.976896,-117.106481,7
-4.605170185988091,0,40.220489,-122.372459,6
-4.605170185988091,0,33.919507,-117.103765,11
-4.605170185988091,0,40.677136,-121.428059,7
-4.605170185988091,0,33.83012,-117.259757,5
-4.605170185988091,0,37.212817,-121.895767,11
-4.605170185988091,0,37.46376,-121.180188,9
-4.605170185988091,0,35.061773,-120.464296,10
-4.605170185988091,0,33.984123,-117.138077,5
-4.605170185988091,0,34.497383,-117.455451,11
-4.605170185988091,0,40.771667,-123.680667,8
-4.605170185988091,0,36.972312,-121.430811,8
-4.605170185988091,0,40.5055,-122.30498,6
-4.605170185988091,0,40.642067,-122.367126,6
-4.605170185988091,0,40.58005,-123.168083,10
-4.605170185988091,0,40.139539,-122.093379,6
-4.605170185988091,0,40.41943,-122.281947,6
-4.605170185988091,0,34.36895,-117.36895,7
-4.605170185988091,0,39.458598,-121.377154,8
-4.605170185988091,0,33.139322,-116.789449,7
-4.605170185988091,0,38.778567,-122.573983,7
-4.605170185988091,0,33.852368,-117.462659,7
-4.605170185988091,0,38.385419,-122.552304,6
-4.605170185988091,0,32.618568,-116.740293,5
-4.605170185988091,0,33.792868,-117.395104,8
-4.605170185988091,0,40.51593,-121.80618,12
-4.605170185988091,0,35.796247,-120.746887,5
-4.605170185988091,0,37.078937,-121.979432,5
-4.605170185988091,0,38.727148,-120.82761,10
-4.605170185988091,0,37.346935,-118.377639,4
-4.605170185988091,0,36.757423,-121.656979,6
-4.605170185988091,0,36.691159,-119.749723,5
-4.605170185988091,0,37.384568,-122.151568,7
-4.605170185988091,0,32.873462,-116.924269,9
-4.605170185988091,0,38.60681,-122.597583,9
-4.605170185988091,0,40.312448,-124.067648,8
-4.605170185988091,0,40.705819,-122.337129,10
-4.605170185988091,0,40.508067,-123.818379,9
-4.605170185988091,0,40.75057,-122.91832,11
-4.605170185988091,0,40.56311,-123.10615,9
-4.605170185988091,0,32.734156,-116.940776,8
-4.605170185988091,0,33.408624,-117.273321,5
-4.605170185988091,0,37.41919,-122.2197,10
-4.605170185988091,0,33.730467,-117.290323,8
-4.605170185988091,0,37.701196,-122.021078,10
-4.605170185988091,0,39.792069,-122.519349,6
-4.605170185988091,0,36.79438,-121.666471,10
-4.605170185988091,0,38.029542,-121.910978,7
-4.605170185988091,0,39.201645,-121.088925,7
-4.605170185988091,0,38.943732,-122.968434,7
-4.605170185988091,0,35.723665,-120.985352,10
-4.605170185988091,0,38.494695,-122.027617,3
-4.605170185988091,0,37.769314,-120.163253,4
-4.605170185988091,0,37.151456,-119.264385,9
-4.605170185988091,0,39.199891,-123.184449,5
-4.605170185988091,0,35.788602,-120.112808,5
-4.605170185988091,0,38.007533,-121.911533,7
-4.605170185988091,0,33.967474,-117.409184,7
-4.605170185988091,0,36.67174,-121.543366,10
-4.605170185988091,0,41.788411,-123.386133,11
-4.605170185988091,0,37.837334,-122.146241,6
-4.605170185988091,0,37.046933,-120.96031,8
-4.605170185988091,0,32.61267,-116.7062,9
-4.605170185988091,0,36.728659,-119.183366,11
-4.605170185988091,0,36.949838,-121.850982,8
-4.605170185988091,0,37.124926,-119.517896,9
-4.605170185988091,0,34.426381,-117.559355,10
-4.605170185988091,0,40.6652,-122.063644,10
-4.605170185988091,0,40.497881,-121.399225,10
-4.605170185988091,0,38.020933,-121.98335,5
-4.605170185988091,0,33.750131,-117.267385,9
-4.605170185988091,0,37.838369,-121.62323,5
-4.605170185988091,0,33.502237,-117.287812,8
-4.605170185988091,0,40.5,-123.663333,10
-4.605170185988091,0,39.754833,-121.597667,6
-4.605170185988091,0,39.042129,-120.965875,9
-4.605170185988091,0,39.346151,-123.318969,7
-4.605170185988091,0,33.622884,-117.322967,5
-4.605170185988091,0,33.9667,-117.449,4
-4.605170185988091,0,38.530778,-122.730777,8
-4.605170185988091,0,36.287413,-121.844836,8
